LOG_ID,EVENT_DATE,CITY,STORE_ADDRESS,PRODUCT,UNITS_SOLD,UNIT_PRICE
C-00000,10/07/2024,Dubai,"Mall of Emirates, B1-45",Smart TV,2,937.49
C-00001,04/02/2024,New York,"200 Broadway, NY 10007",Wireless Earbuds,2,2480.85
C-00002,28/03/2024,Kathmandu,"New Road, Kathmandu 44600",Smart TV,6,430.34
C-00003,15/07/2024,New York,"200 Broadway, NY 10007",4K Camera,5,873.87
C-00004,24/01/2024,Dubai,"Mall of Emirates, B1-45",4K Camera,QTY_ERR,2708.15
C-00005,03/03/2024,Kathmandu,"New Road, Kathmandu 44600",Gaming Console,3,1591.13
C-00006,18/11/2024,Tokyo,"1-1 Akihabara, Chiyoda",Wireless Earbuds,9,2042.1
C-00007,11/06/2024,Sydney,"City Centre, Pitt St Mall",Gaming Console,1,363.37
C-00008,26/01/2024,Dubai,"Dubai Mall, Level 2, S12",Gaming Console,6,1700.51
C-00009,01/06/2024,Berlin,"Alexanderplatz 5, 10178",Gaming Console,8,2828.3
C-00010,21/07/2024,Sydney,"City Centre, Pitt St Mall",4K Camera,3,258.02
C-00011,07/08/2024,Sydney,"88 George St, NSW 2000",Gaming Console,9,2496.58
C-00012,07/10/2024,New York,"200 Broadway, NY 10007",4K Camera,2,-191.61
C-00013,27/05/2024,Dubai,"Mall of Emirates, B1-45",Smart Watch,5,1332.56
C-00014,14/08/2024,Sydney,"City Centre, Pitt St Mall",Gaming Laptop,MISSING,913.23
C-00015,06/08/2024,Berlin,"Alexanderplatz 5, 10178",Gaming Laptop,9,1633.99
C-00016,29/02/2024,Sydney,"88 George St, NSW 2000",Tablet Pro,4,1811.91
C-00017,12/02/2024,Berlin,"Kurfurstendamm 22, 10719",Smart Watch,1,-263.15
C-00018,12/09/2024,Dubai,"Mall of Emirates, B1-45",Tablet Pro,1,686.79
C-00019,29/04/2024,Kathmandu,"New Road, Kathmandu 44600",Gaming Laptop,1,603.81
C-00020,14/08/2024,New York,"200 Broadway, NY 10007",Wireless Earbuds,8,-143.34
C-00021,15/11/2024,Dubai,"Dubai Mall, Level 2, S12",Gaming Console,4,1488.89
C-00022,12/08/2024,New York,"350 5th Ave, NY 10118",Wireless Earbuds,7,-142.03
C-00023,25/09/2024,Tokyo,"3-5 Shinjuku, Shinjuku-ku",Gaming Laptop,4,2423.01
C-00024,31/07/2024,Kathmandu,"Durbar Marg, KTM 44601",4K Camera,6,725.9
C-00025,19/07/2024,London,"88 Regent Ave, SW1A 2AA",Wireless Earbuds,2,181.18
C-00026,18/05/2024,Sydney,"88 George St, NSW 2000",Wireless Earbuds,4,401.93
C-00027,31/10/2024,Tokyo,"3-5 Shinjuku, Shinjuku-ku",Wireless Earbuds,5,1066.81
C-00028,14/06/2024,London,"12 Oxford St, W1D 1AB",Gaming Console,7,370.92
C-00029,30/10/2024,London,"12 Oxford St, W1D 1AB",Gaming Console,7,2983.32
C-00030,27/09/2024,Sydney,"88 George St, NSW 2000",Wireless Earbuds,4,1765.31
C-00031,10/05/2024,Berlin,"Alexanderplatz 5, 10178",Smart Watch,3,1890.67
C-00032,15/09/2024,London,"12 Oxford St, W1D 1AB",Gaming Console,3,2909.27
C-00033,08/03/2024,London,"12 Oxford St, W1D 1AB",Gaming Console,5,905.12
C-00034,04/05/2024,Kathmandu,"Durbar Marg, KTM 44601",Smart TV,QTY_ERR,2713.25
C-00035,08/04/2024,New York,"350 5th Ave, NY 10118",Gaming Laptop,6,1240.02
C-00036,24/02/2024,Tokyo,"1-1 Akihabara, Chiyoda",Wireless Earbuds,3,288.54
C-00037,10/04/2024,Tokyo,"1-1 Akihabara, Chiyoda",Gaming Laptop,8,821.59
C-00038,13/03/2024,Kathmandu,"Durbar Marg, KTM 44601",Tablet Pro,4,2656.18
C-00039,04/05/2024,London,"12 Oxford St, W1D 1AB",Smart Watch,4,1294.31
C-00040,20/10/2024,New York,"350 5th Ave, NY 10118",Smart TV,8,2526.21
C-00041,21/08/2024,London,"12 Oxford St, W1D 1AB",Wireless Earbuds,2,1175.7
C-00042,15/11/2024,New York,"350 5th Ave, NY 10118",4K Camera,8,2706.65
C-00043,15/03/2024,New York,"350 5th Ave, NY 10118",Gaming Console,4,444.11
C-00044,10/04/2024,Sydney,"City Centre, Pitt St Mall",Wireless Earbuds,6,2662.4
C-00045,26/10/2024,New York,"350 5th Ave, NY 10118",Tablet Pro,7,2883.18
C-00046,23/11/2024,London,"12 Oxford St, W1D 1AB",Tablet Pro,7,2768.53
C-00047,06/06/2024,Tokyo,"1-1 Akihabara, Chiyoda",Smart Watch,,276.33
C-00048,12/11/2024,Sydney,"City Centre, Pitt St Mall",Gaming Laptop,7,839.84
C-00049,07/12/2024,London,"12 Oxford St, W1D 1AB",Gaming Console,6,2109.1
C-00050,28/09/2024,New York,"350 5th Ave, NY 10118",Wireless Earbuds,7,2866.01
C-00051,20/02/2024,Kathmandu,"New Road, Kathmandu 44600",Gaming Laptop,3,1917.17
C-00052,30/03/2024,London,"88 Regent Ave, SW1A 2AA",Smart TV,4,-72.66
C-00053,28/03/2024,Tokyo,"3-5 Shinjuku, Shinjuku-ku",Gaming Laptop,9,1524.58
C-00054,12/01/2024,London,"88 Regent Ave, SW1A 2AA",Tablet Pro,6,1939.7
C-00055,22/11/2024,Berlin,"Alexanderplatz 5, 10178",4K Camera,6,2695.9
C-00056,06/03/2024,Dubai,"Dubai Mall, Level 2, S12",Gaming Laptop,QTY_ERR,2908.64
C-00057,25/06/2024,London,"88 Regent Ave, SW1A 2AA",Smart Watch,4,2971.31
C-00058,02/02/2024,London,"12 Oxford St, W1D 1AB",Smart Watch,1,2496.43
C-00059,15/01/2024,New York,"350 5th Ave, NY 10118",Smart TV,8,1243.38
C-00060,17/05/2024,London,"88 Regent Ave, SW1A 2AA",Smart Watch,3,1820.9
C-00061,07/03/2024,London,"88 Regent Ave, SW1A 2AA",Tablet Pro,3,-291.76
C-00062,01/05/2024,Tokyo,"3-5 Shinjuku, Shinjuku-ku",Wireless Earbuds,7,1101.4
C-00063,15/10/2024,Tokyo,"3-5 Shinjuku, Shinjuku-ku",Gaming Console,1,2484.73
C-00064,06/06/2024,Berlin,"Kurfurstendamm 22, 10719",Gaming Laptop,5,-51.41
C-00065,15/01/2024,Berlin,"Alexanderplatz 5, 10178",4K Camera,4,1263.7
C-00066,07/05/2024,Sydney,"City Centre, Pitt St Mall",Tablet Pro,7,2330.86
C-00067,23/04/2024,Berlin,"Kurfurstendamm 22, 10719",Smart TV,3,665.09
C-00068,15/05/2024,Sydney,"88 George St, NSW 2000",Smart TV,6,1928.97
C-00069,21/09/2024,Sydney,"88 George St, NSW 2000",Smart TV,3,-288.32
C-00070,12/09/2024,Berlin,"Alexanderplatz 5, 10178",Smart TV,1,229.08
C-00071,09/01/2024,Tokyo,"1-1 Akihabara, Chiyoda",Tablet Pro,9,-175.28
C-00072,21/06/2024,Kathmandu,"New Road, Kathmandu 44600",Tablet Pro,3,2550.57
C-00073,30/05/2024,Berlin,"Alexanderplatz 5, 10178",Gaming Console,2,2002.85
C-00074,11/07/2024,Tokyo,"3-5 Shinjuku, Shinjuku-ku",Smart Watch,1,56.69
C-00075,25/11/2024,London,"88 Regent Ave, SW1A 2AA",Smart Watch,QTY_ERR,2203.32
C-00076,12/12/2024,Dubai,"Mall of Emirates, B1-45",Tablet Pro,4,2520.89
C-00077,18/09/2024,New York,"350 5th Ave, NY 10118",Wireless Earbuds,3,1514.32
C-00078,26/09/2024,New York,"200 Broadway, NY 10007",Smart Watch,7,1586.42
C-00079,14/06/2024,New York,"350 5th Ave, NY 10118",Gaming Console,9,-293.01
C-00080,09/12/2024,Tokyo,"1-1 Akihabara, Chiyoda",Wireless Earbuds,MISSING,792.78
C-00081,03/01/2024,Kathmandu,"New Road, Kathmandu 44600",4K Camera,3,1881.96
C-00082,19/07/2024,Dubai,"Dubai Mall, Level 2, S12",4K Camera,4,1256.7
C-00083,02/04/2024,London,"12 Oxford St, W1D 1AB",Tablet Pro,5,1184.31
C-00084,05/08/2024,Kathmandu,"New Road, Kathmandu 44600",Wireless Earbuds,4,613.75
C-00085,29/12/2024,Sydney,"88 George St, NSW 2000",Wireless Earbuds,6,1038.4
C-00086,17/08/2024,Tokyo,"3-5 Shinjuku, Shinjuku-ku",Gaming Console,3,2930.74
C-00087,11/11/2024,New York,"350 5th Ave, NY 10118",Gaming Laptop,,654.85
C-00088,13/07/2024,Sydney,"88 George St, NSW 2000",Gaming Console,2,936.78
C-00089,29/05/2024,London,"88 Regent Ave, SW1A 2AA",Gaming Laptop,5,2796.38
C-00090,21/11/2024,Sydney,"88 George St, NSW 2000",Tablet Pro,7,679.16
C-00091,26/02/2024,Tokyo,"3-5 Shinjuku, Shinjuku-ku",Gaming Laptop,5,1192.91
C-00092,21/07/2024,Tokyo,"1-1 Akihabara, Chiyoda",Wireless Earbuds,3,2005.0
C-00093,16/03/2024,London,"88 Regent Ave, SW1A 2AA",Tablet Pro,8,560.11
C-00094,23/01/2024,Tokyo,"3-5 Shinjuku, Shinjuku-ku",Gaming Console,4,654.93
C-00095,22/05/2024,Dubai,"Mall of Emirates, B1-45",Gaming Console,1,1747.77
C-00096,01/06/2024,Kathmandu,"New Road, Kathmandu 44600",Wireless Earbuds,2,2427.33
C-00097,13/05/2024,Tokyo,"3-5 Shinjuku, Shinjuku-ku",Wireless Earbuds,9,2622.82
C-00098,13/06/2024,Tokyo,"1-1 Akihabara, Chiyoda",Wireless Earbuds,4,377.02
C-00099,04/03/2024,Dubai,"Dubai Mall, Level 2, S12",4K Camera,4,2271.57
C-00100,29/12/2024,London,"12 Oxford St, W1D 1AB",Gaming Laptop,3,2312.79
C-00101,20/06/2024,New York,"200 Broadway, NY 10007",Smart TV,5,1690.62
C-00102,04/11/2024,New York,"200 Broadway, NY 10007",Wireless Earbuds,2,-131.41
C-00103,25/10/2024,Tokyo,"3-5 Shinjuku, Shinjuku-ku",Gaming Console,1,307.75
C-00104,09/11/2024,Tokyo,"3-5 Shinjuku, Shinjuku-ku",4K Camera,2,128.6
C-00105,06/04/2024,London,"12 Oxford St, W1D 1AB",4K Camera,8,840.33
C-00106,23/12/2024,Tokyo,"1-1 Akihabara, Chiyoda",4K Camera,3,1684.83
C-00107,01/12/2024,Sydney,"City Centre, Pitt St Mall",Smart TV,8,662.65
C-00108,25/05/2024,Sydney,"City Centre, Pitt St Mall",Smart Watch,9,438.87
C-00109,25/08/2024,Tokyo,"3-5 Shinjuku, Shinjuku-ku",4K Camera,3,1220.1
C-00110,28/08/2024,Berlin,"Alexanderplatz 5, 10178",Smart TV,3,434.27
C-00111,23/07/2024,Tokyo,"3-5 Shinjuku, Shinjuku-ku",Gaming Laptop,1,1772.82
C-00112,03/12/2024,New York,"200 Broadway, NY 10007",4K Camera,6,521.63
C-00113,27/10/2024,New York,"200 Broadway, NY 10007",Gaming Laptop,,2152.09
C-00114,26/02/2024,Dubai,"Dubai Mall, Level 2, S12",4K Camera,7,1216.32
C-00115,12/08/2024,Sydney,"88 George St, NSW 2000",Wireless Earbuds,6,2151.73
C-00116,04/08/2024,Dubai,"Mall of Emirates, B1-45",4K Camera,4,2077.01
C-00117,04/07/2024,Sydney,"City Centre, Pitt St Mall",Smart Watch,6,476.14
C-00118,14/11/2024,New York,"200 Broadway, NY 10007",Tablet Pro,4,1245.73
C-00119,18/12/2024,Tokyo,"3-5 Shinjuku, Shinjuku-ku",Gaming Laptop,3,501.71
C-00120,13/08/2024,Berlin,"Alexanderplatz 5, 10178",Gaming Laptop,MISSING,2773.44
C-00121,19/09/2024,Berlin,"Alexanderplatz 5, 10178",Smart TV,5,736.96
C-00122,27/01/2024,Dubai,"Mall of Emirates, B1-45",Gaming Laptop,2,2815.62
C-00123,16/08/2024,London,"88 Regent Ave, SW1A 2AA",Smart Watch,3,2258.37
C-00124,08/07/2024,Dubai,"Mall of Emirates, B1-45",Smart Watch,7,2147.12
C-00125,15/10/2024,Berlin,"Kurfurstendamm 22, 10719",Wireless Earbuds,1,1077.39
C-00126,16/09/2024,New York,"350 5th Ave, NY 10118",Gaming Laptop,9,2366.13
C-00127,06/11/2024,Dubai,"Dubai Mall, Level 2, S12",4K Camera,6,1778.5
C-00128,11/05/2024,Sydney,"88 George St, NSW 2000",4K Camera,6,2281.86
C-00129,17/02/2024,Sydney,"City Centre, Pitt St Mall",4K Camera,3,1039.23
C-00130,28/05/2024,Sydney,"88 George St, NSW 2000",Wireless Earbuds,8,2569.63
C-00131,04/09/2024,Berlin,"Alexanderplatz 5, 10178",Gaming Console,9,1082.14
C-00132,05/03/2024,Kathmandu,"New Road, Kathmandu 44600",Wireless Earbuds,3,755.49
C-00133,19/07/2024,New York,"200 Broadway, NY 10007",4K Camera,7,2892.02
C-00134,01/10/2024,New York,"350 5th Ave, NY 10118",Wireless Earbuds,8,2123.35
C-00135,23/03/2024,London,"88 Regent Ave, SW1A 2AA",Smart Watch,5,2079.35
C-00136,09/04/2024,Tokyo,"1-1 Akihabara, Chiyoda",Gaming Laptop,1,2351.19
C-00137,02/09/2024,Kathmandu,"New Road, Kathmandu 44600",Smart Watch,2,2533.41
C-00138,24/03/2024,New York,"200 Broadway, NY 10007",Smart Watch,9,-202.18
C-00139,11/08/2024,Kathmandu,"New Road, Kathmandu 44600",Smart TV,7,2583.39
C-00140,11/09/2024,Tokyo,"1-1 Akihabara, Chiyoda",4K Camera,7,2036.86
C-00141,25/12/2024,Sydney,"City Centre, Pitt St Mall",Gaming Laptop,3,1830.34
C-00142,01/01/2024,Sydney,"88 George St, NSW 2000",Smart TV,4,2100.57
C-00143,29/05/2024,London,"88 Regent Ave, SW1A 2AA",Smart Watch,2,2928.72
C-00144,18/02/2024,Berlin,"Kurfurstendamm 22, 10719",Gaming Laptop,7,1566.71
C-00145,06/04/2024,Berlin,"Alexanderplatz 5, 10178",Gaming Laptop,2,183.01
C-00146,07/06/2024,Sydney,"88 George St, NSW 2000",Gaming Console,9,2312.08
C-00147,16/03/2024,Berlin,"Alexanderplatz 5, 10178",Smart TV,4,938.63
C-00148,05/12/2024,London,"88 Regent Ave, SW1A 2AA",Wireless Earbuds,3,2671.35
C-00149,09/03/2024,Berlin,"Alexanderplatz 5, 10178",Gaming Laptop,2,-207.93
C-00150,14/11/2024,London,"88 Regent Ave, SW1A 2AA",Tablet Pro,2,2188.8
C-00151,23/03/2024,Kathmandu,"Durbar Marg, KTM 44601",Smart Watch,4,2828.25
C-00152,21/09/2024,Dubai,"Mall of Emirates, B1-45",Tablet Pro,4,2210.63
C-00153,16/02/2024,Sydney,"City Centre, Pitt St Mall",Smart Watch,7,1496.18
C-00154,03/06/2024,New York,"350 5th Ave, NY 10118",Gaming Console,6,2306.27
C-00155,06/07/2024,Sydney,"88 George St, NSW 2000",4K Camera,8,925.46
C-00156,25/06/2024,Tokyo,"1-1 Akihabara, Chiyoda",Wireless Earbuds,3,966.23
C-00157,28/07/2024,New York,"350 5th Ave, NY 10118",Smart Watch,QTY_ERR,2975.78
C-00158,26/02/2024,Tokyo,"1-1 Akihabara, Chiyoda",Gaming Console,3,2158.24
C-00159,27/03/2024,London,"12 Oxford St, W1D 1AB",4K Camera,3,744.19
C-00160,03/04/2024,Sydney,"88 George St, NSW 2000",Gaming Console,5,2211.05
C-00161,14/06/2024,New York,"200 Broadway, NY 10007",Gaming Console,2,1146.36
C-00162,21/01/2024,Dubai,"Dubai Mall, Level 2, S12",Smart Watch,5,1946.48
C-00163,26/01/2024,Berlin,"Alexanderplatz 5, 10178",4K Camera,9,1732.18
C-00164,03/10/2024,London,"12 Oxford St, W1D 1AB",Tablet Pro,4,1891.24
C-00165,01/09/2024,Kathmandu,"New Road, Kathmandu 44600",Tablet Pro,8,2018.78
C-00166,31/03/2024,Sydney,"City Centre, Pitt St Mall",Gaming Laptop,4,2223.62
C-00167,10/10/2024,Dubai,"Mall of Emirates, B1-45",Smart TV,3,1291.0
C-00168,01/01/2024,Kathmandu,"Durbar Marg, KTM 44601",Tablet Pro,2,1540.88
C-00169,17/06/2024,New York,"350 5th Ave, NY 10118",Tablet Pro,MISSING,2227.38
C-00170,20/07/2024,Kathmandu,"Durbar Marg, KTM 44601",Smart TV,1,325.64
C-00171,12/09/2024,London,"12 Oxford St, W1D 1AB",Wireless Earbuds,8,51.19
C-00172,13/04/2024,Berlin,"Kurfurstendamm 22, 10719",Gaming Laptop,5,1578.24
C-00173,23/10/2024,London,"88 Regent Ave, SW1A 2AA",Gaming Console,1,-205.76
C-00174,30/06/2024,Kathmandu,"New Road, Kathmandu 44600",Gaming Console,5,1579.94
C-00175,23/02/2024,Dubai,"Dubai Mall, Level 2, S12",Gaming Console,6,2865.55
C-00176,10/02/2024,Berlin,"Kurfurstendamm 22, 10719",4K Camera,5,1675.64
C-00177,02/08/2024,Kathmandu,"Durbar Marg, KTM 44601",Smart TV,2,-73.87
C-00178,25/12/2024,London,"12 Oxford St, W1D 1AB",Wireless Earbuds,3,821.85
C-00179,11/11/2024,Tokyo,"3-5 Shinjuku, Shinjuku-ku",4K Camera,3,798.23
C-00180,17/03/2024,Berlin,"Alexanderplatz 5, 10178",Smart TV,9,2778.14
C-00181,27/05/2024,Kathmandu,"New Road, Kathmandu 44600",Tablet Pro,7,2292.42
C-00182,08/01/2024,Berlin,"Kurfurstendamm 22, 10719",4K Camera,3,318.74
C-00183,28/12/2024,Tokyo,"1-1 Akihabara, Chiyoda",Wireless Earbuds,3,2709.87
C-00184,14/05/2024,Kathmandu,"New Road, Kathmandu 44600",Smart TV,6,642.24
C-00185,23/09/2024,Tokyo,"3-5 Shinjuku, Shinjuku-ku",Wireless Earbuds,9,6.0
C-00186,08/07/2024,Dubai,"Mall of Emirates, B1-45",4K Camera,7,473.64
C-00187,02/03/2024,Sydney,"88 George St, NSW 2000",Gaming Laptop,8,1395.22
C-00188,05/06/2024,New York,"200 Broadway, NY 10007",Tablet Pro,6,924.28
C-00189,11/09/2024,New York,"200 Broadway, NY 10007",Smart TV,1,-253.36
C-00190,16/11/2024,Dubai,"Dubai Mall, Level 2, S12",Gaming Laptop,6,1141.71
C-00191,12/02/2024,Dubai,"Dubai Mall, Level 2, S12",Gaming Laptop,QTY_ERR,2494.16
