TXN_ID,DATE,CITY,PRODUCT,QUANTITY,UNIT_PRICE,STORE_ADDRESS,REVENUE,YEAR,MONTH,MONTH_NUM,QUARTER,DAY,WEEK,CITY_CODE
J-00000,2024-11-19,Tokyo,Smart TV,1.0,886.44,"3-5 Shinjuku, Shinjuku-ku",886.44,2024,November,11,Q4,19,47,6
J-00001,2024-07-25,Kathmandu,4K Camera,3.0,753.2,"New Road, Kathmandu 44600",2259.6,2024,July,7,Q3,25,30,2
J-00003,2024-04-29,Sydney,Smart TV,1.0,939.86,"88 George St, NSW 2000",939.86,2024,April,4,Q2,29,18,5
J-00004,2024-03-31,New York,Smart Watch,6.0,785.28,"200 Broadway, NY 10007",4711.68,2024,March,3,Q1,31,13,4
J-00005,2024-02-22,Berlin,4K Camera,5.0,2368.05,"Alexanderplatz 5, 10178",11840.25,2024,February,2,Q1,22,8,0
J-00006,2024-11-07,Berlin,Smart Watch,2.0,203.67,"Kurfurstendamm 22, 10719",407.34,2024,November,11,Q4,7,45,0
J-00008,2024-07-08,Kathmandu,Smart TV,6.0,2310.4,"New Road, Kathmandu 44600",13862.4,2024,July,7,Q3,8,28,2
J-00009,2024-04-08,Tokyo,Gaming Console,1.0,479.7,"1-1 Akihabara, Chiyoda",479.7,2024,April,4,Q2,8,15,6
J-00010,2024-03-28,Kathmandu,Tablet Pro,5.0,110.65,"Durbar Marg, KTM 44601",553.25,2024,March,3,Q1,28,13,2
J-00011,2024-06-13,Sydney,4K Camera,1.0,813.77,"88 George St, NSW 2000",813.77,2024,June,6,Q2,13,24,5
J-00018,2024-09-02,Kathmandu,Gaming Console,1.0,289.58,"Durbar Marg, KTM 44601",289.58,2024,September,9,Q3,2,36,2
J-00019,2024-09-10,Dubai,Gaming Console,6.0,136.73,"Dubai Mall, Level 2, S12",820.38,2024,September,9,Q3,10,37,1
J-00022,2024-07-15,London,Smart Watch,6.0,372.19,"12 Oxford St, W1D 1AB",2233.14,2024,July,7,Q3,15,29,3
J-00023,2024-01-10,Sydney,Smart Watch,3.0,2323.26,"88 George St, NSW 2000",6969.78,2024,January,1,Q1,10,2,5
J-00025,2024-05-16,Berlin,Wireless Earbuds,3.0,1556.81,"Kurfurstendamm 22, 10719",4670.43,2024,May,5,Q2,16,20,0
J-00026,2024-08-04,Tokyo,Gaming Laptop,2.0,917.03,"3-5 Shinjuku, Shinjuku-ku",1834.06,2024,August,8,Q3,4,31,6
J-00027,2024-10-30,Sydney,Smart Watch,7.0,2404.63,"88 George St, NSW 2000",16832.41,2024,October,10,Q4,30,44,5
J-00028,2024-08-13,New York,Smart Watch,5.0,1707.02,"350 5th Ave, NY 10118",8535.1,2024,August,8,Q3,13,33,4
J-00030,2024-01-13,Sydney,4K Camera,7.0,821.36,"City Centre, Pitt St Mall",5749.52,2024,January,1,Q1,13,2,5
J-00031,2024-02-14,London,Smart TV,4.0,152.45,"88 Regent Ave, SW1A 2AA",609.8,2024,February,2,Q1,14,7,3
J-00035,2024-12-23,New York,4K Camera,3.0,1836.83,"350 5th Ave, NY 10118",5510.49,2024,December,12,Q4,23,52,4
J-00036,2024-07-18,Sydney,Smart TV,1.0,1353.03,"88 George St, NSW 2000",1353.03,2024,July,7,Q3,18,29,5
J-00037,2024-10-22,Dubai,Smart Watch,3.0,605.88,"Dubai Mall, Level 2, S12",1817.64,2024,October,10,Q4,22,43,1
J-00038,2024-10-21,Kathmandu,Wireless Earbuds,4.0,433.66,"New Road, Kathmandu 44600",1734.64,2024,October,10,Q4,21,43,2
J-00039,2024-03-30,Dubai,Gaming Console,1.0,2195.42,"Mall of Emirates, B1-45",2195.42,2024,March,3,Q1,30,13,1
J-00041,2024-01-07,New York,4K Camera,1.0,496.65,"350 5th Ave, NY 10118",496.65,2024,January,1,Q1,7,1,4
J-00042,2024-06-25,New York,Tablet Pro,1.0,2248.12,"200 Broadway, NY 10007",2248.12,2024,June,6,Q2,25,26,4
J-00048,2024-05-22,Dubai,Wireless Earbuds,1.0,1749.71,"Dubai Mall, Level 2, S12",1749.71,2024,May,5,Q2,22,21,1
J-00049,2024-01-28,London,Wireless Earbuds,6.0,2387.77,"88 Regent Ave, SW1A 2AA",14326.62,2024,January,1,Q1,28,4,3
J-00051,2024-04-21,Berlin,Gaming Laptop,4.0,705.06,"Kurfurstendamm 22, 10719",2820.24,2024,April,4,Q2,21,16,0
J-00053,2024-04-29,New York,Tablet Pro,6.0,377.0,"200 Broadway, NY 10007",2262.0,2024,April,4,Q2,29,18,4
J-00055,2024-05-17,Dubai,Wireless Earbuds,6.0,1090.28,"Mall of Emirates, B1-45",6541.68,2024,May,5,Q2,17,20,1
J-00058,2024-11-11,New York,Gaming Console,5.0,2218.2,"200 Broadway, NY 10007",11091.0,2024,November,11,Q4,11,46,4
J-00059,2024-06-05,New York,Smart TV,2.0,1599.73,"350 5th Ave, NY 10118",3199.46,2024,June,6,Q2,5,23,4
J-00060,2024-12-21,Kathmandu,Tablet Pro,5.0,1206.27,"Durbar Marg, KTM 44601",6031.35,2024,December,12,Q4,21,51,2
J-00061,2024-08-08,Sydney,Gaming Console,5.0,1078.71,"88 George St, NSW 2000",5393.55,2024,August,8,Q3,8,32,5
J-00064,2024-02-04,Berlin,Smart TV,4.0,2157.72,"Alexanderplatz 5, 10178",8630.88,2024,February,2,Q1,4,5,0
J-00065,2024-12-03,New York,Gaming Laptop,2.0,2122.52,"350 5th Ave, NY 10118",4245.04,2024,December,12,Q4,3,49,4
J-00067,2024-01-03,Berlin,4K Camera,5.0,1334.22,"Kurfurstendamm 22, 10719",6671.1,2024,January,1,Q1,3,1,0
